left,center,right,mask,steering
driving_model/sim_data/RGB\left_01422.png,driving_model/sim_data/RGB\center_01422.png,driving_model/sim_data/RGB\right_01422.png,driving_model/sim_data/masks\01422.png,0.6835543513298035
driving_model/sim_data/RGB\left_01423.png,driving_model/sim_data/RGB\center_01423.png,driving_model/sim_data/RGB\right_01423.png,driving_model/sim_data/masks\01423.png,0.6116911172866821
driving_model/sim_data/RGB\left_01424.png,driving_model/sim_data/RGB\center_01424.png,driving_model/sim_data/RGB\right_01424.png,driving_model/sim_data/masks\01424.png,0.5376709699630737
driving_model/sim_data/RGB\left_01425.png,driving_model/sim_data/RGB\center_01425.png,driving_model/sim_data/RGB\right_01425.png,driving_model/sim_data/masks\01425.png,0.46611496806144714
driving_model/sim_data/RGB\left_01426.png,driving_model/sim_data/RGB\center_01426.png,driving_model/sim_data/RGB\right_01426.png,driving_model/sim_data/masks\01426.png,0.4027939736843109
driving_model/sim_data/RGB\left_01427.png,driving_model/sim_data/RGB\center_01427.png,driving_model/sim_data/RGB\right_01427.png,driving_model/sim_data/masks\01427.png,0.34565502405166626
driving_model/sim_data/RGB\left_01428.png,driving_model/sim_data/RGB\center_01428.png,driving_model/sim_data/RGB\right_01428.png,driving_model/sim_data/masks\01428.png,0.2977645695209503
driving_model/sim_data/RGB\left_01429.png,driving_model/sim_data/RGB\center_01429.png,driving_model/sim_data/RGB\right_01429.png,driving_model/sim_data/masks\01429.png,0.25525617599487305
driving_model/sim_data/RGB\left_01430.png,driving_model/sim_data/RGB\center_01430.png,driving_model/sim_data/RGB\right_01430.png,driving_model/sim_data/masks\01430.png,0.25398799777030945
driving_model/sim_data/RGB\left_01431.png,driving_model/sim_data/RGB\center_01431.png,driving_model/sim_data/RGB\right_01431.png,driving_model/sim_data/masks\01431.png,0.2000828981399536
driving_model/sim_data/RGB\left_01432.png,driving_model/sim_data/RGB\center_01432.png,driving_model/sim_data/RGB\right_01432.png,driving_model/sim_data/masks\01432.png,0.16567210853099823
driving_model/sim_data/RGB\left_01433.png,driving_model/sim_data/RGB\center_01433.png,driving_model/sim_data/RGB\right_01433.png,driving_model/sim_data/masks\01433.png,0.13533073663711548
driving_model/sim_data/RGB\left_01434.png,driving_model/sim_data/RGB\center_01434.png,driving_model/sim_data/RGB\right_01434.png,driving_model/sim_data/masks\01434.png,0.11233305931091309
driving_model/sim_data/RGB\left_01435.png,driving_model/sim_data/RGB\center_01435.png,driving_model/sim_data/RGB\right_01435.png,driving_model/sim_data/masks\01435.png,0.09151788055896759
driving_model/sim_data/RGB\left_01436.png,driving_model/sim_data/RGB\center_01436.png,driving_model/sim_data/RGB\right_01436.png,driving_model/sim_data/masks\01436.png,0.07656316459178925
driving_model/sim_data/RGB\left_01437.png,driving_model/sim_data/RGB\center_01437.png,driving_model/sim_data/RGB\right_01437.png,driving_model/sim_data/masks\01437.png,0.062387291342020035
driving_model/sim_data/RGB\left_01438.png,driving_model/sim_data/RGB\center_01438.png,driving_model/sim_data/RGB\right_01438.png,driving_model/sim_data/masks\01438.png,0.052828434854745865
driving_model/sim_data/RGB\left_01439.png,driving_model/sim_data/RGB\center_01439.png,driving_model/sim_data/RGB\right_01439.png,driving_model/sim_data/masks\01439.png,0.043048109859228134
driving_model/sim_data/RGB\left_01440.png,driving_model/sim_data/RGB\center_01440.png,driving_model/sim_data/RGB\right_01440.png,driving_model/sim_data/masks\01440.png,0.020382072776556015
driving_model/sim_data/RGB\left_01441.png,driving_model/sim_data/RGB\center_01441.png,driving_model/sim_data/RGB\right_01441.png,driving_model/sim_data/masks\01441.png,0.017922354862093925
driving_model/sim_data/RGB\left_01442.png,driving_model/sim_data/RGB\center_01442.png,driving_model/sim_data/RGB\right_01442.png,driving_model/sim_data/masks\01442.png,0.015241170302033424
driving_model/sim_data/RGB\left_01443.png,driving_model/sim_data/RGB\center_01443.png,driving_model/sim_data/RGB\right_01443.png,driving_model/sim_data/masks\01443.png,0.011127334088087082
driving_model/sim_data/RGB\left_01444.png,driving_model/sim_data/RGB\center_01444.png,driving_model/sim_data/RGB\right_01444.png,driving_model/sim_data/masks\01444.png,0.009868341498076916
driving_model/sim_data/RGB\left_01445.png,driving_model/sim_data/RGB\center_01445.png,driving_model/sim_data/RGB\right_01445.png,driving_model/sim_data/masks\01445.png,0.006943893618881702
driving_model/sim_data/RGB\left_01446.png,driving_model/sim_data/RGB\center_01446.png,driving_model/sim_data/RGB\right_01446.png,driving_model/sim_data/masks\01446.png,0.006530862767249346
driving_model/sim_data/RGB\left_01447.png,driving_model/sim_data/RGB\center_01447.png,driving_model/sim_data/RGB\right_01447.png,driving_model/sim_data/masks\01447.png,0.004293667618185282
driving_model/sim_data/RGB\left_01448.png,driving_model/sim_data/RGB\center_01448.png,driving_model/sim_data/RGB\right_01448.png,driving_model/sim_data/masks\01448.png,0.004466314800083637
driving_model/sim_data/RGB\left_01449.png,driving_model/sim_data/RGB\center_01449.png,driving_model/sim_data/RGB\right_01449.png,driving_model/sim_data/masks\01449.png,0.002671964233741164
driving_model/sim_data/RGB\left_01450.png,driving_model/sim_data/RGB\center_01450.png,driving_model/sim_data/RGB\right_01450.png,driving_model/sim_data/masks\01450.png,0.003061301540583372
driving_model/sim_data/RGB\left_01451.png,driving_model/sim_data/RGB\center_01451.png,driving_model/sim_data/RGB\right_01451.png,driving_model/sim_data/masks\01451.png,0.0015782318077981472
driving_model/sim_data/RGB\left_01452.png,driving_model/sim_data/RGB\center_01452.png,driving_model/sim_data/RGB\right_01452.png,driving_model/sim_data/masks\01452.png,0.0023334447760134935
driving_model/sim_data/RGB\left_01453.png,driving_model/sim_data/RGB\center_01453.png,driving_model/sim_data/RGB\right_01453.png,driving_model/sim_data/masks\01453.png,-0.009921965189278126
driving_model/sim_data/RGB\left_01454.png,driving_model/sim_data/RGB\center_01454.png,driving_model/sim_data/RGB\right_01454.png,driving_model/sim_data/masks\01454.png,-0.0053062704391777515
driving_model/sim_data/RGB\left_01455.png,driving_model/sim_data/RGB\center_01455.png,driving_model/sim_data/RGB\right_01455.png,driving_model/sim_data/masks\01455.png,-0.005363584961742163
driving_model/sim_data/RGB\left_01456.png,driving_model/sim_data/RGB\center_01456.png,driving_model/sim_data/RGB\right_01456.png,driving_model/sim_data/masks\01456.png,-0.0034343248698860407
driving_model/sim_data/RGB\left_01457.png,driving_model/sim_data/RGB\center_01457.png,driving_model/sim_data/RGB\right_01457.png,driving_model/sim_data/masks\01457.png,-0.0038702180609107018
driving_model/sim_data/RGB\left_01458.png,driving_model/sim_data/RGB\center_01458.png,driving_model/sim_data/RGB\right_01458.png,driving_model/sim_data/masks\01458.png,-0.0020797548349946737
driving_model/sim_data/RGB\left_01459.png,driving_model/sim_data/RGB\center_01459.png,driving_model/sim_data/RGB\right_01459.png,driving_model/sim_data/masks\01459.png,-0.0028045231010764837
driving_model/sim_data/RGB\left_01460.png,driving_model/sim_data/RGB\center_01460.png,driving_model/sim_data/RGB\right_01460.png,driving_model/sim_data/masks\01460.png,-0.0012866024626418948
driving_model/sim_data/RGB\left_01461.png,driving_model/sim_data/RGB\center_01461.png,driving_model/sim_data/RGB\right_01461.png,driving_model/sim_data/masks\01461.png,-0.0019309907220304012
driving_model/sim_data/RGB\left_01462.png,driving_model/sim_data/RGB\center_01462.png,driving_model/sim_data/RGB\right_01462.png,driving_model/sim_data/masks\01462.png,-0.00048554842942394316
driving_model/sim_data/RGB\left_01463.png,driving_model/sim_data/RGB\center_01463.png,driving_model/sim_data/RGB\right_01463.png,driving_model/sim_data/masks\01463.png,-0.0015951069071888924
driving_model/sim_data/RGB\left_01464.png,driving_model/sim_data/RGB\center_01464.png,driving_model/sim_data/RGB\right_01464.png,driving_model/sim_data/masks\01464.png,-5.984355811960995e-05
driving_model/sim_data/RGB\left_01465.png,driving_model/sim_data/RGB\center_01465.png,driving_model/sim_data/RGB\right_01465.png,driving_model/sim_data/masks\01465.png,-0.005728518590331078
driving_model/sim_data/RGB\left_01466.png,driving_model/sim_data/RGB\center_01466.png,driving_model/sim_data/RGB\right_01466.png,driving_model/sim_data/masks\01466.png,-0.002837854903191328
driving_model/sim_data/RGB\left_01467.png,driving_model/sim_data/RGB\center_01467.png,driving_model/sim_data/RGB\right_01467.png,driving_model/sim_data/masks\01467.png,-0.0033560111187398434
driving_model/sim_data/RGB\left_01468.png,driving_model/sim_data/RGB\center_01468.png,driving_model/sim_data/RGB\right_01468.png,driving_model/sim_data/masks\01468.png,-0.0018119988963007927
driving_model/sim_data/RGB\left_01469.png,driving_model/sim_data/RGB\center_01469.png,driving_model/sim_data/RGB\right_01469.png,driving_model/sim_data/masks\01469.png,-0.0024188286624848843
driving_model/sim_data/RGB\left_01470.png,driving_model/sim_data/RGB\center_01470.png,driving_model/sim_data/RGB\right_01470.png,driving_model/sim_data/masks\01470.png,-0.0009003295563161373
driving_model/sim_data/RGB\left_01471.png,driving_model/sim_data/RGB\center_01471.png,driving_model/sim_data/RGB\right_01471.png,driving_model/sim_data/masks\01471.png,-0.0016922358190640807
driving_model/sim_data/RGB\left_01472.png,driving_model/sim_data/RGB\center_01472.png,driving_model/sim_data/RGB\right_01472.png,driving_model/sim_data/masks\01472.png,-0.0005975061794742942
driving_model/sim_data/RGB\left_01473.png,driving_model/sim_data/RGB\center_01473.png,driving_model/sim_data/RGB\right_01473.png,driving_model/sim_data/masks\01473.png,-0.001156342914327979
driving_model/sim_data/RGB\left_01474.png,driving_model/sim_data/RGB\center_01474.png,driving_model/sim_data/RGB\right_01474.png,driving_model/sim_data/masks\01474.png,-0.00018510399968363345
driving_model/sim_data/RGB\left_01475.png,driving_model/sim_data/RGB\center_01475.png,driving_model/sim_data/RGB\right_01475.png,driving_model/sim_data/masks\01475.png,-0.0010553877800703049
driving_model/sim_data/RGB\left_01476.png,driving_model/sim_data/RGB\center_01476.png,driving_model/sim_data/RGB\right_01476.png,driving_model/sim_data/masks\01476.png,-0.00026409426936879754
driving_model/sim_data/RGB\left_01477.png,driving_model/sim_data/RGB\center_01477.png,driving_model/sim_data/RGB\right_01477.png,driving_model/sim_data/masks\01477.png,-0.0024358690716326237
driving_model/sim_data/RGB\left_01478.png,driving_model/sim_data/RGB\center_01478.png,driving_model/sim_data/RGB\right_01478.png,driving_model/sim_data/masks\01478.png,-0.0006308624288067222
driving_model/sim_data/RGB\left_01479.png,driving_model/sim_data/RGB\center_01479.png,driving_model/sim_data/RGB\right_01479.png,driving_model/sim_data/masks\01479.png,-0.0018264839891344309
driving_model/sim_data/RGB\left_01480.png,driving_model/sim_data/RGB\center_01480.png,driving_model/sim_data/RGB\right_01480.png,driving_model/sim_data/masks\01480.png,-0.00023691914975643158
driving_model/sim_data/RGB\left_01481.png,driving_model/sim_data/RGB\center_01481.png,driving_model/sim_data/RGB\right_01481.png,driving_model/sim_data/masks\01481.png,-0.0011279109166935086
driving_model/sim_data/RGB\left_01482.png,driving_model/sim_data/RGB\center_01482.png,driving_model/sim_data/RGB\right_01482.png,driving_model/sim_data/masks\01482.png,0.00039295118767768145
driving_model/sim_data/RGB\left_01483.png,driving_model/sim_data/RGB\center_01483.png,driving_model/sim_data/RGB\right_01483.png,driving_model/sim_data/masks\01483.png,-0.001066182041540742
driving_model/sim_data/RGB\left_01484.png,driving_model/sim_data/RGB\center_01484.png,driving_model/sim_data/RGB\right_01484.png,driving_model/sim_data/masks\01484.png,0.000304378685541451
driving_model/sim_data/RGB\left_01485.png,driving_model/sim_data/RGB\center_01485.png,driving_model/sim_data/RGB\right_01485.png,driving_model/sim_data/masks\01485.png,-0.0012311208993196487
driving_model/sim_data/RGB\left_01486.png,driving_model/sim_data/RGB\center_01486.png,driving_model/sim_data/RGB\right_01486.png,driving_model/sim_data/masks\01486.png,0.00035146623849868774
driving_model/sim_data/RGB\left_01487.png,driving_model/sim_data/RGB\center_01487.png,driving_model/sim_data/RGB\right_01487.png,driving_model/sim_data/masks\01487.png,-0.000870533986017108
driving_model/sim_data/RGB\left_01488.png,driving_model/sim_data/RGB\center_01488.png,driving_model/sim_data/RGB\right_01488.png,driving_model/sim_data/masks\01488.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01489.png,driving_model/sim_data/RGB\center_01489.png,driving_model/sim_data/RGB\right_01489.png,driving_model/sim_data/masks\01489.png,-0.001066182041540742
driving_model/sim_data/RGB\left_01490.png,driving_model/sim_data/RGB\center_01490.png,driving_model/sim_data/RGB\right_01490.png,driving_model/sim_data/masks\01490.png,0.000304378685541451
driving_model/sim_data/RGB\left_01491.png,driving_model/sim_data/RGB\center_01491.png,driving_model/sim_data/RGB\right_01491.png,driving_model/sim_data/masks\01491.png,-0.0015078091528266668
driving_model/sim_data/RGB\left_01492.png,driving_model/sim_data/RGB\center_01492.png,driving_model/sim_data/RGB\right_01492.png,driving_model/sim_data/masks\01492.png,0.0004304564790800214
driving_model/sim_data/RGB\left_01493.png,driving_model/sim_data/RGB\center_01493.png,driving_model/sim_data/RGB\right_01493.png,driving_model/sim_data/masks\01493.png,-0.001066182041540742
driving_model/sim_data/RGB\left_01494.png,driving_model/sim_data/RGB\center_01494.png,driving_model/sim_data/RGB\right_01494.png,driving_model/sim_data/masks\01494.png,0.000304378685541451
driving_model/sim_data/RGB\left_01495.png,driving_model/sim_data/RGB\center_01495.png,driving_model/sim_data/RGB\right_01495.png,driving_model/sim_data/masks\01495.png,-0.000870533986017108
driving_model/sim_data/RGB\left_01496.png,driving_model/sim_data/RGB\center_01496.png,driving_model/sim_data/RGB\right_01496.png,driving_model/sim_data/masks\01496.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01497.png,driving_model/sim_data/RGB\center_01497.png,driving_model/sim_data/RGB\right_01497.png,driving_model/sim_data/masks\01497.png,0.0
driving_model/sim_data/RGB\left_01498.png,driving_model/sim_data/RGB\center_01498.png,driving_model/sim_data/RGB\right_01498.png,driving_model/sim_data/masks\01498.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01499.png,driving_model/sim_data/RGB\center_01499.png,driving_model/sim_data/RGB\right_01499.png,driving_model/sim_data/masks\01499.png,-0.0010462671052664518
driving_model/sim_data/RGB\left_01500.png,driving_model/sim_data/RGB\center_01500.png,driving_model/sim_data/RGB\right_01500.png,driving_model/sim_data/masks\01500.png,-0.0003670363512355834
driving_model/sim_data/RGB\left_01501.png,driving_model/sim_data/RGB\center_01501.png,driving_model/sim_data/RGB\right_01501.png,driving_model/sim_data/masks\01501.png,-0.00043982735951431096
driving_model/sim_data/RGB\left_01502.png,driving_model/sim_data/RGB\center_01502.png,driving_model/sim_data/RGB\right_01502.png,driving_model/sim_data/masks\01502.png,0.00017573311924934387
driving_model/sim_data/RGB\left_01503.png,driving_model/sim_data/RGB\center_01503.png,driving_model/sim_data/RGB\right_01503.png,driving_model/sim_data/masks\01503.png,0.0
driving_model/sim_data/RGB\left_01504.png,driving_model/sim_data/RGB\center_01504.png,driving_model/sim_data/RGB\right_01504.png,driving_model/sim_data/masks\01504.png,0.0
driving_model/sim_data/RGB\left_01505.png,driving_model/sim_data/RGB\center_01505.png,driving_model/sim_data/RGB\right_01505.png,driving_model/sim_data/masks\01505.png,-0.000870533986017108
driving_model/sim_data/RGB\left_01506.png,driving_model/sim_data/RGB\center_01506.png,driving_model/sim_data/RGB\right_01506.png,driving_model/sim_data/masks\01506.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01507.png,driving_model/sim_data/RGB\center_01507.png,driving_model/sim_data/RGB\right_01507.png,driving_model/sim_data/masks\01507.png,-0.000870533986017108
driving_model/sim_data/RGB\left_01508.png,driving_model/sim_data/RGB\center_01508.png,driving_model/sim_data/RGB\right_01508.png,driving_model/sim_data/masks\01508.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01509.png,driving_model/sim_data/RGB\center_01509.png,driving_model/sim_data/RGB\right_01509.png,driving_model/sim_data/masks\01509.png,-0.000870533986017108
driving_model/sim_data/RGB\left_01510.png,driving_model/sim_data/RGB\center_01510.png,driving_model/sim_data/RGB\right_01510.png,driving_model/sim_data/masks\01510.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01511.png,driving_model/sim_data/RGB\center_01511.png,driving_model/sim_data/RGB\right_01511.png,driving_model/sim_data/masks\01511.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_01512.png,driving_model/sim_data/RGB\center_01512.png,driving_model/sim_data/RGB\right_01512.png,driving_model/sim_data/masks\01512.png,0.00017573311924934387
driving_model/sim_data/RGB\left_01513.png,driving_model/sim_data/RGB\center_01513.png,driving_model/sim_data/RGB\right_01513.png,driving_model/sim_data/masks\01513.png,0.0
driving_model/sim_data/RGB\left_01514.png,driving_model/sim_data/RGB\center_01514.png,driving_model/sim_data/RGB\right_01514.png,driving_model/sim_data/masks\01514.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01515.png,driving_model/sim_data/RGB\center_01515.png,driving_model/sim_data/RGB\right_01515.png,driving_model/sim_data/masks\01515.png,-0.0010462671052664518
driving_model/sim_data/RGB\left_01516.png,driving_model/sim_data/RGB\center_01516.png,driving_model/sim_data/RGB\right_01516.png,driving_model/sim_data/masks\01516.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01517.png,driving_model/sim_data/RGB\center_01517.png,driving_model/sim_data/RGB\right_01517.png,driving_model/sim_data/masks\01517.png,0.0
driving_model/sim_data/RGB\left_01518.png,driving_model/sim_data/RGB\center_01518.png,driving_model/sim_data/RGB\right_01518.png,driving_model/sim_data/masks\01518.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01519.png,driving_model/sim_data/RGB\center_01519.png,driving_model/sim_data/RGB\right_01519.png,driving_model/sim_data/masks\01519.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_01520.png,driving_model/sim_data/RGB\center_01520.png,driving_model/sim_data/RGB\right_01520.png,driving_model/sim_data/masks\01520.png,0.0
driving_model/sim_data/RGB\left_01521.png,driving_model/sim_data/RGB\center_01521.png,driving_model/sim_data/RGB\right_01521.png,driving_model/sim_data/masks\01521.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_01522.png,driving_model/sim_data/RGB\center_01522.png,driving_model/sim_data/RGB\right_01522.png,driving_model/sim_data/masks\01522.png,0.0007912935689091682
driving_model/sim_data/RGB\left_01523.png,driving_model/sim_data/RGB\center_01523.png,driving_model/sim_data/RGB\right_01523.png,driving_model/sim_data/masks\01523.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_01524.png,driving_model/sim_data/RGB\center_01524.png,driving_model/sim_data/RGB\right_01524.png,driving_model/sim_data/masks\01524.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01525.png,driving_model/sim_data/RGB\center_01525.png,driving_model/sim_data/RGB\right_01525.png,driving_model/sim_data/masks\01525.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_01526.png,driving_model/sim_data/RGB\center_01526.png,driving_model/sim_data/RGB\right_01526.png,driving_model/sim_data/masks\01526.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01527.png,driving_model/sim_data/RGB\center_01527.png,driving_model/sim_data/RGB\right_01527.png,driving_model/sim_data/masks\01527.png,-0.0010462671052664518
driving_model/sim_data/RGB\left_01528.png,driving_model/sim_data/RGB\center_01528.png,driving_model/sim_data/RGB\right_01528.png,driving_model/sim_data/masks\01528.png,0.0002485241857357323
driving_model/sim_data/RGB\left_01529.png,driving_model/sim_data/RGB\center_01529.png,driving_model/sim_data/RGB\right_01529.png,driving_model/sim_data/masks\01529.png,0.0
driving_model/sim_data/RGB\left_01530.png,driving_model/sim_data/RGB\center_01530.png,driving_model/sim_data/RGB\right_01530.png,driving_model/sim_data/masks\01530.png,0.0
driving_model/sim_data/RGB\left_01531.png,driving_model/sim_data/RGB\center_01531.png,driving_model/sim_data/RGB\right_01531.png,driving_model/sim_data/masks\01531.png,0.0
driving_model/sim_data/RGB\left_01532.png,driving_model/sim_data/RGB\center_01532.png,driving_model/sim_data/RGB\right_01532.png,driving_model/sim_data/masks\01532.png,0.0
driving_model/sim_data/RGB\left_01533.png,driving_model/sim_data/RGB\center_01533.png,driving_model/sim_data/RGB\right_01533.png,driving_model/sim_data/masks\01533.png,0.0
driving_model/sim_data/RGB\left_01534.png,driving_model/sim_data/RGB\center_01534.png,driving_model/sim_data/RGB\right_01534.png,driving_model/sim_data/masks\01534.png,0.0
driving_model/sim_data/RGB\left_01535.png,driving_model/sim_data/RGB\center_01535.png,driving_model/sim_data/RGB\right_01535.png,driving_model/sim_data/masks\01535.png,0.0
driving_model/sim_data/RGB\left_01536.png,driving_model/sim_data/RGB\center_01536.png,driving_model/sim_data/RGB\right_01536.png,driving_model/sim_data/masks\01536.png,0.0
driving_model/sim_data/RGB\left_01537.png,driving_model/sim_data/RGB\center_01537.png,driving_model/sim_data/RGB\right_01537.png,driving_model/sim_data/masks\01537.png,0.0
driving_model/sim_data/RGB\left_01538.png,driving_model/sim_data/RGB\center_01538.png,driving_model/sim_data/RGB\right_01538.png,driving_model/sim_data/masks\01538.png,0.0
driving_model/sim_data/RGB\left_01539.png,driving_model/sim_data/RGB\center_01539.png,driving_model/sim_data/RGB\right_01539.png,driving_model/sim_data/masks\01539.png,0.0
driving_model/sim_data/RGB\left_01540.png,driving_model/sim_data/RGB\center_01540.png,driving_model/sim_data/RGB\right_01540.png,driving_model/sim_data/masks\01540.png,0.0
driving_model/sim_data/RGB\left_01541.png,driving_model/sim_data/RGB\center_01541.png,driving_model/sim_data/RGB\right_01541.png,driving_model/sim_data/masks\01541.png,0.0
driving_model/sim_data/RGB\left_01542.png,driving_model/sim_data/RGB\center_01542.png,driving_model/sim_data/RGB\right_01542.png,driving_model/sim_data/masks\01542.png,0.0
driving_model/sim_data/RGB\left_01543.png,driving_model/sim_data/RGB\center_01543.png,driving_model/sim_data/RGB\right_01543.png,driving_model/sim_data/masks\01543.png,0.0
driving_model/sim_data/RGB\left_01544.png,driving_model/sim_data/RGB\center_01544.png,driving_model/sim_data/RGB\right_01544.png,driving_model/sim_data/masks\01544.png,0.0006155604496598244
driving_model/sim_data/RGB\left_01545.png,driving_model/sim_data/RGB\center_01545.png,driving_model/sim_data/RGB\right_01545.png,driving_model/sim_data/masks\01545.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_01546.png,driving_model/sim_data/RGB\center_01546.png,driving_model/sim_data/RGB\right_01546.png,driving_model/sim_data/masks\01546.png,0.001741067972034216
driving_model/sim_data/RGB\left_01547.png,driving_model/sim_data/RGB\center_01547.png,driving_model/sim_data/RGB\right_01547.png,driving_model/sim_data/masks\01547.png,0.0011315717129036784
driving_model/sim_data/RGB\left_01548.png,driving_model/sim_data/RGB\center_01548.png,driving_model/sim_data/RGB\right_01548.png,driving_model/sim_data/masks\01548.png,0.0012761218240484595
driving_model/sim_data/RGB\left_01549.png,driving_model/sim_data/RGB\center_01549.png,driving_model/sim_data/RGB\right_01549.png,driving_model/sim_data/masks\01549.png,0.0011315717129036784
driving_model/sim_data/RGB\left_01550.png,driving_model/sim_data/RGB\center_01550.png,driving_model/sim_data/RGB\right_01550.png,driving_model/sim_data/masks\01550.png,0.0007661748677492142
driving_model/sim_data/RGB\left_01551.png,driving_model/sim_data/RGB\center_01551.png,driving_model/sim_data/RGB\right_01551.png,driving_model/sim_data/masks\01551.png,0.0008796547190286219
driving_model/sim_data/RGB\left_01552.png,driving_model/sim_data/RGB\center_01552.png,driving_model/sim_data/RGB\right_01552.png,driving_model/sim_data/masks\01552.png,0.0007147158030420542
driving_model/sim_data/RGB\left_01553.png,driving_model/sim_data/RGB\center_01553.png,driving_model/sim_data/RGB\right_01553.png,driving_model/sim_data/masks\01553.png,0.0007618034142069519
driving_model/sim_data/RGB\left_01554.png,driving_model/sim_data/RGB\center_01554.png,driving_model/sim_data/RGB\right_01554.png,driving_model/sim_data/masks\01554.png,0.0005661552422679961
driving_model/sim_data/RGB\left_01555.png,driving_model/sim_data/RGB\center_01555.png,driving_model/sim_data/RGB\right_01555.png,driving_model/sim_data/masks\01555.png,0.0006220098002813756
driving_model/sim_data/RGB\left_01556.png,driving_model/sim_data/RGB\center_01556.png,driving_model/sim_data/RGB\right_01556.png,driving_model/sim_data/masks\01556.png,0.0006220098002813756
driving_model/sim_data/RGB\left_01557.png,driving_model/sim_data/RGB\center_01557.png,driving_model/sim_data/RGB\right_01557.png,driving_model/sim_data/masks\01557.png,0.0003670363512355834
driving_model/sim_data/RGB\left_01558.png,driving_model/sim_data/RGB\center_01558.png,driving_model/sim_data/RGB\right_01558.png,driving_model/sim_data/masks\01558.png,0.00043982735951431096
driving_model/sim_data/RGB\left_01559.png,driving_model/sim_data/RGB\center_01559.png,driving_model/sim_data/RGB\right_01559.png,driving_model/sim_data/masks\01559.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_01560.png,driving_model/sim_data/RGB\center_01560.png,driving_model/sim_data/RGB\right_01560.png,driving_model/sim_data/masks\01560.png,0.000870533986017108
driving_model/sim_data/RGB\left_01561.png,driving_model/sim_data/RGB\center_01561.png,driving_model/sim_data/RGB\right_01561.png,driving_model/sim_data/masks\01561.png,0.0006220098002813756
driving_model/sim_data/RGB\left_01562.png,driving_model/sim_data/RGB\center_01562.png,driving_model/sim_data/RGB\right_01562.png,driving_model/sim_data/masks\01562.png,0.0006220098002813756
driving_model/sim_data/RGB\left_01563.png,driving_model/sim_data/RGB\center_01563.png,driving_model/sim_data/RGB\right_01563.png,driving_model/sim_data/masks\01563.png,0.0006220098002813756
driving_model/sim_data/RGB\left_01564.png,driving_model/sim_data/RGB\center_01564.png,driving_model/sim_data/RGB\right_01564.png,driving_model/sim_data/masks\01564.png,-0.0002485241857357323
driving_model/sim_data/RGB\left_01565.png,driving_model/sim_data/RGB\center_01565.png,driving_model/sim_data/RGB\right_01565.png,driving_model/sim_data/masks\01565.png,0.0
driving_model/sim_data/RGB\left_01566.png,driving_model/sim_data/RGB\center_01566.png,driving_model/sim_data/RGB\right_01566.png,driving_model/sim_data/masks\01566.png,0.0
driving_model/sim_data/RGB\left_01567.png,driving_model/sim_data/RGB\center_01567.png,driving_model/sim_data/RGB\right_01567.png,driving_model/sim_data/masks\01567.png,0.0
driving_model/sim_data/RGB\left_01568.png,driving_model/sim_data/RGB\center_01568.png,driving_model/sim_data/RGB\right_01568.png,driving_model/sim_data/masks\01568.png,0.0
driving_model/sim_data/RGB\left_01569.png,driving_model/sim_data/RGB\center_01569.png,driving_model/sim_data/RGB\right_01569.png,driving_model/sim_data/masks\01569.png,0.0
driving_model/sim_data/RGB\left_01570.png,driving_model/sim_data/RGB\center_01570.png,driving_model/sim_data/RGB\right_01570.png,driving_model/sim_data/masks\01570.png,0.0
driving_model/sim_data/RGB\left_01571.png,driving_model/sim_data/RGB\center_01571.png,driving_model/sim_data/RGB\right_01571.png,driving_model/sim_data/masks\01571.png,0.0
driving_model/sim_data/RGB\left_01572.png,driving_model/sim_data/RGB\center_01572.png,driving_model/sim_data/RGB\right_01572.png,driving_model/sim_data/masks\01572.png,0.0
driving_model/sim_data/RGB\left_01573.png,driving_model/sim_data/RGB\center_01573.png,driving_model/sim_data/RGB\right_01573.png,driving_model/sim_data/masks\01573.png,0.0
driving_model/sim_data/RGB\left_01574.png,driving_model/sim_data/RGB\center_01574.png,driving_model/sim_data/RGB\right_01574.png,driving_model/sim_data/masks\01574.png,0.0
driving_model/sim_data/RGB\left_01575.png,driving_model/sim_data/RGB\center_01575.png,driving_model/sim_data/RGB\right_01575.png,driving_model/sim_data/masks\01575.png,0.0
driving_model/sim_data/RGB\left_01576.png,driving_model/sim_data/RGB\center_01576.png,driving_model/sim_data/RGB\right_01576.png,driving_model/sim_data/masks\01576.png,0.021137695759534836
